,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
46,20,2017-12-02,South San Juan,TL,3229.285714285714,4.071428571428571,5.285714285714286,-1.9285714285714288,-3.3571428571428568,78.07142857142857,19.214285714285715,201.42857142857144,29.285714285714285,0.0,0.0,0.09,0.0,0.0,7.978571428571429,3.7192857142857134
72,20,2017-12-03,South San Juan,TL,3229.285714285714,1.8571428571428568,5.7142857142857135,-1.4285714285714286,-3.0,89.14285714285714,36.714285714285715,227.42857142857144,57.07142857142857,0.0,0.0,0.05357142857142857,0.0,0.0,9.414285714285716,3.573571428571429
98,20,2017-12-04,South San Juan,TL,3229.285714285714,-3.8571428571428568,2.9285714285714284,-9.071428571428571,-19.928571428571427,39.214285714285715,4.0,115.78571428571428,36.857142857142854,0.0,0.017142857142857144,0.8707142857142857,4.299999999999999,0.41,8.871428571428572,3.3557142857142854
124,20,2017-12-05,South San Juan,TL,3229.285714285714,-1.5714285714285714,-1.2142857142857142,-12.071428571428573,-25.857142857142854,15.142857142857142,4.714285714285714,141.64285714285714,8.0,0.0,0.0,0.1807142857142857,0.0,0.0,9.328571428571431,3.247142857142857
150,20,2017-12-06,South San Juan,TL,3229.285714285714,0.14285714285714285,0.7857142857142857,-8.5,-23.285714285714285,18.642857142857142,8.714285714285714,213.35714285714286,19.642857142857142,0.0,0.0,0.16142857142857142,0.0,0.0,13.049999999999995,3.3371428571428567
176,20,2017-12-07,South San Juan,TL,3229.285714285714,-7.357142857142858,1.0714285714285714,-16.0,-24.142857142857146,33.714285714285715,13.642857142857142,256.7142857142857,28.07142857142857,0.0,0.0,0.05357142857142857,0.0,0.0,9.057142857142855,4.264285714285714
202,20,2017-12-08,South San Juan,TL,3229.285714285714,2.357142857142857,2.4285714285714284,-9.428571428571429,-13.571428571428573,37.57142857142857,15.642857142857142,250.35714285714286,33.642857142857146,0.0,0.0,0.4528571428571429,2.5,0.18,12.864285714285712,3.6292857142857136
228,20,2017-12-09,South San Juan,TL,3229.285714285714,4.642857142857143,5.357142857142857,-5.357142857142857,-22.714285714285715,13.928571428571427,2.7142857142857144,65.21428571428571,14.071428571428573,0.0,0.0,3.465,0.0,0.0,12.314285714285711,3.627857142857143
254,20,2017-12-10,South San Juan,TL,3229.285714285714,5.642857142857142,6.7142857142857135,-4.785714285714286,-26.857142857142854,8.857142857142858,4.357142857142857,56.28571428571429,12.5,0.0,0.0,0.017857142857142856,0.0,0.0,12.499999999999998,3.646428571428572
280,20,2017-12-11,South San Juan,TL,3229.285714285714,7.142857142857142,8.285714285714286,-3.071428571428572,-15.428571428571427,23.42857142857143,7.857142857142858,236.2142857142857,27.857142857142854,0.0,0.0,0.17928571428571427,0.0,0.0,12.328571428571427,3.81
306,20,2017-12-12,South San Juan,TL,3229.285714285714,7.7142857142857135,9.571428571428571,-1.7142857142857142,-15.0,20.0,2.357142857142857,54.35714285714285,10.642857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,12.785714285714285,3.846428571428572
332,20,2017-12-13,South San Juan,TL,3229.285714285714,5.785714285714287,9.428571428571429,-2.7142857142857144,-19.071428571428573,17.642857142857142,6.0,242.14285714285717,19.714285714285715,0.0,0.0,0.03571428571428571,0.0,0.0,11.8,3.755714285714287
358,20,2017-12-14,South San Juan,TL,3229.285714285714,-1.7142857142857142,7.857142857142858,-4.928571428571429,-8.428571428571429,85.92857142857143,12.642857142857142,66.71428571428571,21.785714285714285,0.0,0.010714285714285714,0.03571428571428571,3.0,0.33,10.14285714285714,3.7192857142857134
