,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
0,2018-02-26,Aspen,<TL,2360.6666666666665,0.3888888888888889,1.1111111111111112,-15.5,-14.277777777777779,33.77777777777778,6.555555555555555,176.16666666666666,17.444444444444443,0.0,0.03333333333333333,0.3522222222222222,0.016666666666666666,0.0,43.961111111111116,12.691666666666668
1,2018-02-26,Aspen,>TL,3641.0,-9.75,-9.75,-17.75,-22.75,34.75,45.0,220.0,81.25,0.0,0.0,0.0,0.0,0.0,54.07499999999999,2.67
2,2018-02-26,Aspen,TL,3263.2727272727275,-4.2727272727272725,-4.2727272727272725,-16.545454545454547,-15.454545454545455,52.0,16.818181818181817,203.45454545454547,46.0,0.0,0.0,0.20636363636363636,0.0,0.0,120.60000000000001,21.98363636363636
3,2018-02-26,Front Range,<TL,2624.25,0.75,0.7727272727272727,-11.522727272727273,-18.863636363636363,23.59090909090909,17.954545454545453,211.79545454545453,33.04545454545455,0.0,0.01818181818181818,0.15477272727272728,0.0,0.0,98.9659090909091,12.16659090909091
4,2018-02-26,Front Range,>TL,3729.25,-9.75,-9.75,-20.0,-20.75,39.0,53.5,256.75,75.33333333333333,,,,,,,
5,2018-02-26,Front Range,TL,3223.235294117647,-1.9411764705882353,-1.7647058823529411,-13.588235294117647,-16.0,36.35294117647059,27.294117647058822,209.94117647058823,42.1764705882353,0.0,0.07777777777777778,0.44705882352941173,,,105.47647058823529,26.460588235294118
6,2018-02-26,Grand Mesa,<TL,2138.25,2.75,2.75,-9.25,-12.75,33.5,16.75,262.25,38.5,0.0,0.0,0.0,0.0,0.0,50.8,11.18
7,2018-02-26,Grand Mesa,TL,3100.8,-5.0,-5.0,-14.6,-16.0,55.0,19.0,195.0,34.0,0.0,0.0,0.0,0.0,0.0,89.4,14.63
8,2018-02-26,Gunnison,<TL,2622.866666666667,-7.866666666666666,-4.133333333333334,-22.0,-18.066666666666666,45.266666666666666,2.933333333333333,113.8,11.533333333333333,0.0,0.0,0.24066666666666667,0.0,0.0,70.68,16.496
9,2018-02-26,Gunnison,>TL,3658.0,-10.0,-10.0,-19.0,-22.0,40.0,32.0,217.0,51.0,0.0,0.0,0.25,0.0,0.18,0.0,3.56
10,2018-02-26,Gunnison,TL,3245.5,-4.375,-4.375,-18.125,-18.25,42.375,7.25,181.875,21.375,0.0,0.09,0.21875,0.0,0.18,79.15,14.415
11,2018-02-26,North San Juan,<TL,2667.3888888888887,-1.5555555555555556,0.05555555555555555,-17.555555555555557,-18.5,34.5,6.555555555555555,119.83333333333333,14.555555555555555,0.0,0.002777777777777778,0.030555555555555558,0.07222222222222223,0.0,30.83888888888889,8.764444444444445
12,2018-02-26,North San Juan,>TL,3720.7,-7.4,-7.2,-17.2,-23.3,33.0,21.4,202.1,46.6,0.0,0.0,0.051000000000000004,0.12,0.0,40.040000000000006,5.5569999999999995
13,2018-02-26,North San Juan,TL,3231.769230769231,-1.6923076923076923,-1.6923076923076923,-16.384615384615383,-23.307692307692307,20.76923076923077,12.692307692307692,187.3846153846154,25.53846153846154,0.0,0.02307692307692308,0.019230769230769232,0.9923076923076926,0.0,81.44615384615386,17.683076923076918
14,2018-02-26,Sangre,<TL,2498.4444444444443,1.8888888888888888,1.8888888888888888,-9.11111111111111,-18.88888888888889,19.88888888888889,13.444444444444445,255.22222222222223,24.77777777777778,0.0,0.0,0.25,0.0,0.18,4.533333333333333,3.56
15,2018-02-26,Sangre,TL,3279.5,-5.0,-4.0,-12.5,-20.0,16.0,14.0,245.0,26.0,0.0,0.0,0.125,0.0,0.18,53.3,13.59
16,2018-02-26,Sawatch,<TL,2692.230769230769,-0.15384615384615385,0.46153846153846156,-13.692307692307692,-18.846153846153847,23.307692307692307,11.076923076923077,210.6153846153846,22.923076923076923,0.0,0.0,0.08615384615384616,0.5769230769230769,0.06923076923076922,35.60000000000001,9.039999999999996
17,2018-02-26,Sawatch,>TL,3604.5,-8.0,-8.0,-16.75,-23.0,31.5,37.25,252.0,43.25,0.0,0.0,0.1275,0.0,0.0,56.525000000000006,12.450000000000001
18,2018-02-26,Sawatch,TL,3192.733333333333,-1.8,-1.7333333333333334,-16.2,-24.333333333333332,23.733333333333334,7.6,251.33333333333334,23.0,0.0,0.0,0.25399999999999995,0.0,0.0,53.35333333333334,12.79933333333333
19,2018-02-26,South San Juan,<TL,2329.9615384615386,2.269230769230769,2.769230769230769,-13.307692307692308,-11.576923076923077,33.07692307692308,6.923076923076923,165.5,13.384615384615385,0.0,0.0023076923076923075,0.022692307692307692,0.0,0.0,24.073076923076922,11.748846153846152
20,2018-02-26,South San Juan,>TL,3590.5,-10.0,-10.0,-17.0,-15.5,66.5,36.0,202.0,51.0,0.0,0.0,0.0,0.0,0.0,21.6,16.0
21,2018-02-26,South San Juan,TL,3230.2,-1.8,-1.7333333333333334,-13.8,-18.2,36.266666666666666,24.933333333333334,209.06666666666666,38.4,0.0,0.006666666666666667,0.30333333333333334,0.0,0.0,97.88000000000002,19.574666666666666
22,2018-02-26,Steamboat,<TL,2552.344827586207,-0.8620689655172413,-0.6551724137931034,-13.724137931034482,-14.931034482758621,38.48275862068966,9.793103448275861,173.0,20.344827586206897,0.0,0.018275862068965518,0.526896551724138,0.08620689655172414,0.005172413793103448,95.12758620689655,31.049655172413786
23,2018-02-26,Steamboat,TL,3220.6,-6.6,-6.6,-15.4,-16.4,53.4,3.0,211.8,8.0,0.0,0.0,0.2,0.0,0.0,158.98000000000002,45.160000000000004
24,2018-02-26,Vail/Summit,<TL,2637.125,0.125,0.125,-14.6875,-15.8125,34.3125,5.25,238.4375,12.25,0.08750000000000001,0.0125,0.0625,0.0,0.0,48.19375,17.653125
