,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
0,2018-01-18,Aspen,<TL,2360.6666666666665,1.1666666666666667,3.1666666666666665,-10.277777777777779,-12.5,37.611111111111114,2.2222222222222223,96.94444444444444,7.777777777777778,0.0,0.0,0.46611111111111114,0.0,0.0,24.716666666666665,9.371666666666666
1,2018-01-18,Aspen,>TL,3641.0,-2.0,-2.0,-9.0,-25.75,14.75,13.25,305.25,21.5,0.0,0.0,0.0,0.0,0.0,27.899999999999995,1.27
2,2018-01-18,Aspen,TL,3263.2727272727275,-0.18181818181818182,0.6363636363636364,-10.0,-21.454545454545453,20.636363636363637,3.1818181818181817,144.45454545454547,11.727272727272727,0.0,0.0,0.16,0.0,0.0,70.04545454545453,12.954545454545457
3,2018-01-18,Front Range,<TL,2615.4375,5.6875,7.0625,-6.875,-12.208333333333334,29.1875,9.0625,216.95833333333334,20.5,0.3,0.6708333333333334,0.052083333333333336,0.0,0.0,17.818749999999998,6.194583333333334
4,2018-01-18,Front Range,>TL,3682.0,-4.666666666666667,-4.666666666666667,-10.0,-18.0,38.666666666666664,24.0,210.33333333333334,44.333333333333336,,,,,,,
5,2018-01-18,Front Range,TL,3223.235294117647,2.8823529411764706,3.176470588235294,-7.235294117647059,-13.117647058823529,35.470588235294116,9.529411764705882,198.2941176470588,16.88235294117647,0.37555555555555553,3.847777777777777,0.14705882352941177,,,71.94117647058823,16.884117647058826
6,2018-01-18,Grand Mesa,<TL,2284.0,4.0,6.0,-5.0,-8.666666666666666,38.666666666666664,10.333333333333334,216.33333333333334,24.333333333333332,0.0,0.0,0.0,0.0,0.0,17.8,3.56
7,2018-01-18,Grand Mesa,TL,3100.8,0.8,1.2,-10.4,-28.0,10.0,0.0,124.0,2.0,0.0,0.0,0.05,0.0,0.0,35.9,5.13
8,2018-01-18,Gunnison,<TL,2603.176470588235,-8.529411764705882,0.23529411764705882,-17.941176470588236,-15.705882352941176,56.411764705882355,1.2352941176470589,157.35294117647058,8.058823529411764,0.0,0.0,0.0,0.0,0.0,48.088235294117645,10.95058823529412
9,2018-01-18,Gunnison,TL,3225.8571428571427,-0.2857142857142857,1.1428571428571428,-9.285714285714286,-17.714285714285715,25.428571428571427,3.7142857142857144,220.57142857142858,12.0,0.0,0.0,0.0,0.0,0.0,42.357142857142854,8.747142857142858
