,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
0,2018-03-13,Aspen,<TL,2358.8125,7.4375,9.375,-3.125,-6.1875,42.5,3.875,259.25,8.8125,0.0,0.0,0.21875,0.0,0.0,28.406250000000004,16.953125
1,2018-03-13,Aspen,>TL,3641.0,-3.0,-1.25,-8.25,-10.5,56.0,4.0,188.0,9.75,0.0,0.0,0.0,0.0,0.0,39.375,7.87
2,2018-03-13,Aspen,TL,3263.2727272727275,-0.18181818181818182,2.272727272727273,-6.818181818181818,-9.272727272727273,57.45454545454545,3.0,270.1818181818182,9.727272727272727,0.0,0.0,0.0,0.0,0.0,107.84545454545454,24.521818181818183
3,2018-03-13,Front Range,<TL,2599.6,3.6666666666666665,6.8,-9.088888888888889,-10.133333333333333,38.666666666666664,6.533333333333333,158.15555555555557,14.244444444444444,0.3535555555555555,0.0,0.14444444444444443,0.0,0.0,40.07777777777778,9.53111111111111
4,2018-03-13,Front Range,>TL,3729.25,-6.25,-5.5,-10.5,-10.5,62.25,11.25,298.5,21.5,,,,,,,
5,2018-03-13,Front Range,TL,3223.235294117647,2.411764705882353,3.5294117647058822,-9.764705882352942,-7.647058823529412,51.05882352941177,11.470588235294118,213.2941176470588,19.470588235294116,0.5611111111111111,,0.0,,,102.48235294117646,27.281764705882352
6,2018-03-13,Grand Mesa,<TL,2199.0,10.0,12.5,1.5,-3.5,41.0,9.5,133.0,16.0,0.0,0.0,0.0,0.0,0.0,33.0,10.16
7,2018-03-13,Grand Mesa,TL,3100.8,2.6,4.6,-8.0,-7.0,52.0,2.0,48.0,7.0,0.0,0.0,0.0,0.0,0.0,68.67999999999999,12.951999999999998
8,2018-03-13,Gunnison,<TL,2657.153846153846,2.923076923076923,7.615384615384615,-8.76923076923077,-8.615384615384615,44.61538461538461,2.3846153846153846,144.0,4.769230769230769,0.0,0.0,0.0,0.0,0.0,60.66923076923077,16.65076923076923
9,2018-03-13,Gunnison,>TL,3658.0,-3.0,-3.0,-7.0,-10.0,57.0,2.0,106.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
10,2018-03-13,Gunnison,TL,3245.5,0.25,3.25,-7.375,-9.5,49.0,3.875,214.5,8.875,0.0,0.0,0.02875,0.0,0.0,69.35,13.2725
11,2018-03-13,North San Juan,<TL,2801.785714285714,4.357142857142857,8.214285714285714,-6.785714285714286,-8.857142857142858,40.714285714285715,4.428571428571429,193.42857142857142,8.071428571428571,0.0,0.0,0.017142857142857144,0.03571428571428571,0.0,14.614285714285714,11.936428571428573
12,2018-03-13,North San Juan,>TL,3720.7,-2.8,0.2,-8.3,-13.8,46.2,7.5,167.3,18.1,0.0,0.0,0.2,0.12,0.0,33.33,7.6930000000000005
13,2018-03-13,North San Juan,TL,3227.7272727272725,2.0,6.0,-8.0,-10.909090909090908,44.27272727272727,7.818181818181818,186.72727272727272,14.636363636363637,0.0,0.0,0.045454545454545456,0.4454545454545454,0.0,62.0,15.702727272727275
14,2018-03-13,Sangre,<TL,2487.3,6.1,11.6,-3.5,-9.9,30.5,7.3,73.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.51
15,2018-03-13,Sangre,TL,3279.5,1.5,5.5,-8.0,-12.0,30.0,8.0,112.0,13.0,0.0,0.0,0.125,0.0,0.0,36.85,12.575000000000001
16,2018-03-13,Sawatch,<TL,2681.846153846154,4.0,9.846153846153847,-5.6923076923076925,-9.923076923076923,35.61538461538461,7.769230769230769,159.23076923076923,13.461538461538462,0.0,0.0,0.0,0.0,0.0,30.5,6.349999999999999
17,2018-03-13,Sawatch,>TL,3604.5,-2.75,-0.25,-8.0,-12.0,51.5,2.0,186.25,8.0,0.0,0.0,0.0625,0.0,0.0,40.0,11.747499999999999
18,2018-03-13,Sawatch,TL,3179.5384615384614,1.0769230769230769,4.538461538461538,-9.76923076923077,-10.923076923076923,49.38461538461539,5.3076923076923075,152.23076923076923,10.0,0.0,0.0,0.057692307692307696,0.0,0.0,46.315384615384616,11.196153846153845
19,2018-03-13,South San Juan,<TL,2288.2727272727275,8.454545454545455,11.272727272727273,-3.3636363636363638,-2.272727272727273,48.86363636363637,4.590909090909091,120.0,9.909090909090908,0.0,0.0,0.0,0.0,0.0,24.05454545454545,7.835909090909092
20,2018-03-13,South San Juan,>TL,3590.5,-3.0,0.0,-7.0,-7.0,76.0,4.0,20.5,17.0,0.0,0.0,0.0,0.0,0.0,53.3,16.76
21,2018-03-13,South San Juan,TL,3245.8571428571427,2.2142857142857144,5.214285714285714,-5.214285714285714,-6.785714285714286,63.0,2.642857142857143,68.14285714285714,14.5,0.0,0.0,0.05357142857142857,0.0,0.0,75.52142857142857,19.41357142857143
22,2018-03-13,Steamboat,<TL,2540.8333333333335,4.133333333333334,6.933333333333334,-6.833333333333333,-7.466666666666667,43.833333333333336,3.0,156.33333333333334,7.533333333333333,0.0,0.0,0.016666666666666666,0.0,0.0,77.26666666666665,31.065333333333328
23,2018-03-13,Steamboat,TL,3220.6,-0.2,0.4,-6.0,-10.4,49.4,3.2,191.2,2.6,0.0,0.0,0.05,0.0,0.0,145.28,47.29600000000001
24,2018-03-13,Vail/Summit,<TL,2636.4666666666667,3.533333333333333,6.4,-6.933333333333334,-6.6,50.0,2.933333333333333,184.06666666666666,7.6,0.05999999999999999,0.13066666666666665,0.06666666666666667,0.0,0.0,49.82000000000001,18.184
