CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2017-12-25,Steamboat,Range South,<TL,1928,1,4,-3,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2017-12-25,Steamboat,Steamboat Springs 1,<TL,2042,-3,-3,-10,?,?,?,?,?,?,?,1.40,?,?,?,?,HADS
2017-12-25,Steamboat,U40-Steamboat (040W,<TL,2066,-4,-4,-11,-4,98,10,130,10,0.00,0.15,?,?,?,?,?,CODOT
2017-12-25,Steamboat,Steamboat Sprngs,<TL,2096,-4,-4,-12,-5,89,8,120,?,?,?,?,?,?,?,?,METAR
2017-12-25,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,1.50,?,22.4,1.50,43.2,?,CoCoRaHS
2017-12-25,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,23.6,1.68,?,?,CoCoRaHS
2017-12-25,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.48,?,6.6,0.48,7.6,?,CoCoRaHS
2017-12-25,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,1.45,?,20.8,?,57.1,?,CoCoRaHS
2017-12-25,Steamboat,Gypsum,<TL,2237,2,2,-4,-2,73,14,228,35,?,0.20,0.20,?,?,?,?,RAWS
2017-12-25,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,40.6,?,?,?,CoCoRaHS
2017-12-25,Steamboat,Hangman,<TL,2388,0,0,-5,-2,84,6,86,11,?,0.13,?,?,?,?,?,RAWS
2017-12-25,Steamboat,Yampa Ranger Statio,<TL,2402,-2,-2,-9,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2017-12-25,Steamboat,Trapper North,<TL,2426,0,0,-8,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2017-12-25,Steamboat,Dry Lake,<TL,2560,-3,-3,-9,-4,92,3,214,7,?,?,2.79,?,?,86.4,13.97,SNOTEL
2017-12-25,Steamboat,Dry Lake,<TL,2565,-5,-5,-9,-6,93,13,228,21,?,0.13,0.13,?,?,?,?,RAWS
2017-12-25,Steamboat,Elk River,<TL,2652,-3,-3,-10,?,?,?,?,?,?,?,1.27,?,?,?,13.21,SNOTEL
2017-12-25,Steamboat,Elkhead Divide,<TL,2676,-3,-3,-9,?,?,?,?,?,?,?,1.78,?,?,81.3,11.68,SNOTEL
2017-12-25,Steamboat,Lynx Pass,<TL,2707,-1,-1,-7,?,?,?,?,?,?,?,0.76,?,?,45.7,8.64,SNOTEL
2017-12-25,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,8.9,?,?,?,CoCoRaHS
2017-12-25,Steamboat,Porcupine Cr,<TL,2725,-3,-3,-11,-6,84,10,251,18,?,0.03,0.03,?,?,?,?,RAWS
2017-12-25,Steamboat,Bear River,<TL,2768,-2,-2,-9,?,?,?,?,?,?,?,1.27,?,?,53.3,11.43,SNOTEL
2017-12-25,Steamboat,Crosho,<TL,2774,-2,-2,-8,?,?,?,?,?,?,?,0.76,?,?,40.6,7.37,SNOTEL
2017-12-25,Steamboat,Columbine,<TL,2792,-3,-3,-9,?,?,?,?,?,?,?,2.54,?,?,91.4,12.70,SNOTEL
2017-12-25,Steamboat,Buffalo Park,<TL,2817,-3,-3,-9,?,?,?,?,?,?,?,1.78,?,?,86.4,16.51,SNOTEL
2017-12-25,Steamboat,Lost Dog,<TL,2841,-4,-4,-11,?,?,?,?,?,?,?,1.52,?,?,424.2,16.00,SNOTEL
2017-12-25,Steamboat,Zirkel,<TL,2847,-4,-4,-12,?,?,?,?,?,?,?,2.54,?,?,96.5,19.05,SNOTEL
2017-12-25,Steamboat,Rabbit Ears,<TL,2865,-4,-4,-11,?,?,?,?,?,?,?,3.81,?,?,86.4,14.99,SNOTEL
2017-12-25,Steamboat,Burro Mountain,<TL,2865,-3,-3,-5,?,?,?,?,?,?,?,0.25,?,?,?,5.33,SNOTEL
2017-12-25,Steamboat,Steamboat Lake Stat,<TL,2871,-3,-3,-13,-6,78,19,253,47,?,?,?,?,?,45.0,?,CAIC
2017-12-25,Steamboat,Willow Creek Pass,<TL,2908,-3,-3,-10,?,?,?,?,?,?,?,1.02,?,?,88.9,16.76,SNOTEL
2017-12-25,Steamboat,Trapper Lake,<TL,2957,-4,-2,-7,?,?,?,?,?,?,?,0.76,?,?,30.5,8.38,SNOTEL
2017-12-25,Steamboat,Ripple Creek,TL,3152,-5,-5,-11,?,?,?,?,?,?,?,1.52,?,?,94.0,21.59,SNOTEL
2017-12-25,Steamboat,Storm Peak Observat,TL,3210,-8,-8,-16,-8,100,30,287,41,?,?,?,?,?,?,?,DRI
2017-12-25,Steamboat,Bison Lake,TL,3316,-6,-6,-12,?,?,?,?,?,?,?,2.29,?,?,40.6,13.46,SNOTEL
2017-12-25,Gunnison,Paonia Reservoir nr,<TL,1975,1,5,-6,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-25,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,2,4,-1,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-25,Gunnison,Gunnison Arpt,<TL,2339,2,2,-4,-7,52,22,260,?,0.00,?,?,?,?,?,?,METAR
2017-12-25,Gunnison,CW1428 Gunnison,<TL,2352,2,2,-4,-8,50,3,216,?,?,?,?,?,?,?,?,APRSWXNET
2017-12-25,Gunnison,Gunnison 6.6 N CO,<TL,2422,?,?,?,?,?,?,?,?,?,?,?,10.2,0.64,?,?,CoCoRaHS
2017-12-25,Gunnison,Almont,<TL,2440,2,2,-5,?,?,?,?,?,?,?,0.51,?,?,?,?,HADS
2017-12-25,Gunnison,Parlin 2.7 ESE CO,<TL,2562,?,?,?,?,?,?,?,?,?,?,?,10.2,?,?,?,CoCoRaHS
2017-12-25,Gunnison,Crested Butte,<TL,2701,-1,-1,-8,?,?,?,?,?,?,?,1.04,?,?,?,?,HADS
2017-12-25,Gunnison,Crested Butte (RWIS,<TL,2721,-2,-2,-7,-6,74,16,15,26,0.00,0.25,?,?,?,?,?,CODOT
2017-12-25,Gunnison,Silver Jack Reservo,<TL,2721,?,?,?,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-25,Gunnison,Taylor Park,<TL,2795,-20,-3,-26,?,?,?,?,?,?,?,0.69,?,?,?,?,HADS
2017-12-25,Gunnison,Kettle Ponds,<TL,2841,-3,?,?,-7,77,20,292,?,?,?,?,?,?,?,?,RMBL
2017-12-25,Gunnison,Billy Barr House,<TL,2905,-4,?,?,-6,87,7,331,?,?,?,?,?,?,?,?,RMBL
2017-12-25,Gunnison,Park Cone,<TL,2926,-1,-1,-11,?,?,?,?,?,?,?,0.51,?,?,?,9.14,SNOTEL
2017-12-25,Gunnison,Judd Falls,<TL,2974,-5,?,?,-6,89,9,330,?,?,?,?,?,?,?,?,RMBL
2017-12-25,Gunnison,Crested Butte 6.2 N,<TL,2991,?,?,?,?,?,?,?,?,?,1.45,?,25.4,1.45,58.4,?,CoCoRaHS
2017-12-25,Gunnison,Mexican Cut,TL,3094,-7,?,?,-9,88,6,256,?,?,?,?,?,?,?,?,RMBL
2017-12-25,Gunnison,Butte,TL,3097,-2,-2,-7,?,?,?,?,?,?,?,1.02,?,?,?,7.87,SNOTEL
2017-12-25,Gunnison,Irwin Guides StudyP,TL,3170,-6,-5,-9,-8,90,8,90,22,0.00,?,0.00,?,?,31.0,?,IrwinGuide
2017-12-25,Gunnison,Taylor Park,TL,3201,-2,-2,-10,-6,75,10,283,23,?,0.10,0.10,?,?,?,?,RAWS
2017-12-25,Gunnison,Upper Taylor,TL,3243,-4,-3,-11,?,?,?,?,?,?,?,1.02,?,?,?,9.65,SNOTEL
2017-12-25,Gunnison,Snodgrass Mt,TL,3332,-7,?,?,-8,95,4,41,?,?,?,?,?,?,?,?,RMBL
2017-12-25,Gunnison,Crested Butte Mtn R,TL,3444,-8,-8,-12,?,?,20,257,33,?,?,?,?,?,?,?,CBMR
2017-12-25,Sangre,Cotopaxi 4.9 SE CO,<TL,2194,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
