CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-08,Steamboat,Range South,<TL,1928,-1,7,-10,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-08,Steamboat,Steamboat Springs 1,<TL,2042,-5,5,-15,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-01-08,Steamboat,U40-Steamboat (040W,<TL,2066,-8,6,-18,-8,95,6,145,10,0.00,0.00,?,?,?,?,?,CODOT
2018-01-08,Steamboat,Steamboat Sprngs,<TL,2096,-7,2,-13,-8,93,8,190,?,?,?,?,?,?,?,?,METAR
2018-01-08,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.00,?,0.3,0.00,27.9,?,CoCoRaHS
2018-01-08,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,0.00,?,?,CoCoRaHS
2018-01-08,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,1.3,?,CoCoRaHS
2018-01-08,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.00,?,0.5,?,49.5,?,CoCoRaHS
2018-01-08,Steamboat,Gypsum,<TL,2237,-1,6,-8,-7,60,3,336,10,?,0.00,0.00,?,?,?,?,RAWS
2018-01-08,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-08,Steamboat,Hangman,<TL,2388,-2,4,-9,-8,61,8,182,13,?,0.00,?,?,?,?,?,RAWS
2018-01-08,Steamboat,Yampa Ranger Statio,<TL,2402,1,4,-9,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-08,Steamboat,Trapper North,<TL,2426,-1,5,-12,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-08,Steamboat,Dry Lake,<TL,2560,3,3,-7,-1,80,0,38,0,?,?,?,?,?,?,15.24,SNOTEL
2018-01-08,Steamboat,Dry Lake,<TL,2565,4,4,-6,-7,45,11,76,13,?,0.43,0.41,?,?,?,?,RAWS
2018-01-08,Steamboat,Elk River,<TL,2652,2,2,-6,?,?,?,?,?,?,?,0.00,?,?,58.4,14.22,SNOTEL
2018-01-08,Steamboat,Elkhead Divide,<TL,2676,3,3,-4,?,?,?,?,?,?,?,0.00,?,?,55.9,12.70,SNOTEL
2018-01-08,Steamboat,Lynx Pass,<TL,2707,-2,0,-14,?,?,?,?,?,?,?,?,?,?,38.1,9.91,SNOTEL
2018-01-08,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-08,Steamboat,Porcupine Cr,<TL,2725,-2,1,-16,-6,73,2,269,5,?,0.66,0.66,?,?,?,?,RAWS
2018-01-08,Steamboat,Bear River,<TL,2768,-2,-1,-8,?,?,?,?,?,?,?,0.00,?,?,45.7,12.45,SNOTEL
2018-01-08,Steamboat,Crosho,<TL,2774,3,3,-9,?,?,?,?,?,?,?,0.00,?,?,27.9,7.37,SNOTEL
2018-01-08,Steamboat,Columbine,<TL,2792,0,0,-8,?,?,?,?,?,?,?,0.00,?,?,76.2,13.46,SNOTEL
2018-01-08,Steamboat,Buffalo Park,<TL,2817,-3,-1,-15,?,?,?,?,?,?,?,?,?,?,76.2,18.29,SNOTEL
