CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-03-29,Steamboat,Range South,<TL,1928,8,10,-4,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-03-29,Steamboat,Steamboat Springs 1,<TL,2042,3,3,-6,?,?,?,?,?,?,?,0.58,?,?,?,?,HADS
2018-03-29,Steamboat,Steamboat Sprngs,<TL,2096,-1,0,-6,-3,82,8,160,?,?,?,?,?,?,?,?,METAR
2018-03-29,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,1.37,?,13.5,1.37,33.0,?,CoCoRaHS
2018-03-29,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,13.2,1.45,?,?,CoCoRaHS
2018-03-29,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.3,0.00,0.0,?,CoCoRaHS
2018-03-29,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,1.78,?,17.5,?,63.5,?,CoCoRaHS
2018-03-29,Steamboat,Gypsum,<TL,2237,6,8,-6,-7,39,16,237,42,?,0.00,?,?,?,?,?,RAWS
2018-03-29,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,6.3,?,?,?,CoCoRaHS
2018-03-29,Steamboat,Hangman,<TL,2388,2,3,-7,-5,59,8,195,19,?,0.03,?,?,?,?,?,RAWS
2018-03-29,Steamboat,Yampa Ranger Statio,<TL,2402,0,0,-10,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-03-29,Steamboat,Trapper North,<TL,2426,-2,2,-8,?,?,?,?,?,?,?,?,?,?,?,?,UPR
