CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-02-15,Steamboat,Range South,<TL,1928,3,10,0,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-02-15,Steamboat,Steamboat Springs 1,<TL,2042,-2,5,-4,?,?,?,?,?,?,?,0.71,?,?,?,?,HADS
2018-02-15,Steamboat,U40-Steamboat (040W,<TL,2066,-2,6,-4,-3,91,14,220,19,0.00,0.13,?,?,?,?,?,CODOT
2018-02-15,Steamboat,Steamboat Sprngs,<TL,2096,-3,5,-4,-5,89,11,230,?,?,?,?,?,?,?,?,METAR
2018-02-15,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.71,?,11.2,0.71,58.4,?,CoCoRaHS
2018-02-15,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,12.2,0.74,?,?,CoCoRaHS
2018-02-15,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,5.1,?,CoCoRaHS
2018-02-15,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.53,?,7.1,?,76.2,?,CoCoRaHS
2018-02-15,Steamboat,Gypsum,<TL,2237,2,8,-3,-4,64,5,210,19,?,0.13,?,?,?,?,?,RAWS
2018-02-15,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,12.7,?,?,?,CoCoRaHS
2018-02-15,Steamboat,Hangman,<TL,2388,1,5,-4,-5,68,2,307,10,?,0.03,?,?,?,?,?,RAWS
2018-02-15,Steamboat,Yampa Ranger Statio,<TL,2402,-5,7,-6,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-15,Steamboat,Trapper North,<TL,2426,-6,7,-7,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-02-15,Steamboat,Dry Lake,<TL,2560,-4,2,-5,-6,90,4,206,13,?,?,0.76,?,?,129.5,30.48,SNOTEL
2018-02-15,Steamboat,Dry Lake,<TL,2565,-7,3,-7,-8,89,13,250,29,?,0.13,?,?,?,?,?,RAWS
2018-02-15,Steamboat,Elk River,<TL,2652,-6,0,-6,?,?,?,?,?,?,?,2.29,?,?,127.0,27.94,SNOTEL
2018-02-15,Steamboat,Elkhead Divide,<TL,2676,-6,-1,-7,?,?,?,?,?,?,?,3.05,?,?,127.0,25.65,SNOTEL
2018-02-15,Steamboat,Lynx Pass,<TL,2707,-5,4,-6,?,?,?,?,?,?,?,0.00,?,?,81.3,18.29,SNOTEL
2018-02-15,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,21.6,?,?,?,CoCoRaHS
2018-02-15,Steamboat,Porcupine Cr,<TL,2725,-7,3,-8,-10,80,8,306,23,?,0.08,?,?,?,?,?,RAWS
2018-02-15,Steamboat,Bear River,<TL,2768,-4,2,-6,?,?,?,?,?,?,?,0.76,?,?,86.4,19.30,SNOTEL
2018-02-15,Steamboat,Crosho,<TL,2774,-4,6,-5,?,?,?,?,?,?,?,0.51,?,?,86.4,16.51,SNOTEL
2018-02-15,Steamboat,Columbine,<TL,2792,-4,1,-7,?,?,?,?,?,?,?,1.02,?,?,147.3,40.39,SNOTEL
2018-02-15,Steamboat,Buffalo Park,<TL,2817,-5,2,-7,?,?,?,?,?,?,?,0.25,?,?,124.5,29.72,SNOTEL
2018-02-15,Steamboat,Lost Dog,<TL,2841,-7,-1,-7,?,?,?,?,?,?,?,2.29,?,?,147.3,34.29,SNOTEL
2018-02-15,Steamboat,Zirkel,<TL,2847,-6,-1,-8,?,?,?,?,?,?,?,2.79,?,?,?,48.51,SNOTEL
2018-02-15,Steamboat,Burro Mountain,<TL,2865,-4,1,-6,?,?,?,?,?,?,?,0.25,?,?,?,17.02,SNOTEL
2018-02-15,Steamboat,Rabbit Ears,<TL,2865,-7,-1,-7,?,?,?,?,?,?,?,1.02,?,?,134.6,30.23,SNOTEL
2018-02-15,Steamboat,Steamboat Lake Stat,<TL,2871,-6,1,-7,-6,97,6,254,17,?,?,?,?,?,73.7,?,CAIC
2018-02-15,Steamboat,Willow Creek Pass,<TL,2908,-6,1,-6,?,?,?,?,?,?,?,0.00,?,?,?,25.40,SNOTEL
2018-02-15,Steamboat,Trapper Lake,<TL,2957,-5,0,-7,?,?,?,?,?,?,?,0.51,?,?,27.9,7.62,SNOTEL
2018-02-15,Steamboat,Ripple Creek,TL,3152,-7,-3,-8,?,?,?,?,?,?,?,0.76,?,?,167.6,38.61,SNOTEL
2018-02-15,Steamboat,Tower,TL,3201,-9,-4,-9,?,?,?,?,?,?,?,1.27,?,?,231.1,62.23,SNOTEL
2018-02-15,Steamboat,Storm Peak Observat,TL,3210,-12,-5,-12,-12,100,25,270,34,?,?,?,?,?,?,?,DRI
2018-02-15,Steamboat,Walton Peak,TL,3224,-10,-4,-10,-11,92,13,260,37,?,?,?,?,?,?,?,METAR
2018-02-15,Steamboat,Bison Lake,TL,3316,-9,-2,-9,?,?,?,?,?,?,?,2.29,?,?,137.2,31.50,SNOTEL
2018-02-15,Gunnison,Paonia Reservoir nr,<TL,1975,3,9,0,?,?,?,?,?,?,?,0.51,?,?,?,?,HADS
2018-02-15,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,3,4,0,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-02-15,Gunnison,Gunnison Arpt,<TL,2339,2,3,-1,-8,48,28,240,48,?,?,?,?,?,?,?,METAR
2018-02-15,Gunnison,CW1428 Gunnison,<TL,2352,3,3,-2,-9,43,16,232,?,?,?,?,?,?,?,?,APRSWXNET
2018-02-15,Gunnison,Gunnison 6.6 N CO,<TL,2422,?,?,?,?,?,?,?,?,?,0.08,?,1.3,0.08,?,?,CoCoRaHS
2018-02-15,Gunnison,Almont,<TL,2440,2,5,-3,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-02-15,Gunnison,Parlin 2.7 ESE CO,<TL,2562,?,?,?,?,?,?,?,?,?,?,?,2.5,?,?,?,CoCoRaHS
2018-02-15,Gunnison,Crested Butte,<TL,2701,-2,3,-3,?,?,?,?,?,?,?,0.53,?,?,?,?,HADS
2018-02-15,Gunnison,Crested Butte (RWIS,<TL,2721,-1,1,-3,-8,60,23,30,40,0.00,0.15,?,?,?,?,?,CODOT
2018-02-15,Gunnison,Silver Jack Reservo,<TL,2721,?,?,?,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-02-15,Gunnison,Taylor Park,<TL,2795,-19,-17,-22,?,?,?,?,?,?,?,0.28,?,?,?,?,HADS
2018-02-15,Gunnison,Kettle Ponds,<TL,2841,-4,1,-5,-6,88,7,252,?,?,?,?,?,?,?,?,RMBL
2018-02-15,Gunnison,Billy Barr House,<TL,2905,-5,2,-5,-6,90,3,21,?,?,?,?,?,?,?,?,RMBL
2018-02-15,Gunnison,Park Cone,<TL,2926,-1,3,-3,?,?,?,?,?,?,?,0.25,?,?,?,14.73,SNOTEL
2018-02-15,Gunnison,Judd Falls,<TL,2974,-5,1,-6,-7,86,4,100,?,?,?,?,?,?,430.5,?,RMBL
2018-02-15,Gunnison,Crested Butte 6.2 N,<TL,2991,?,?,?,?,?,?,?,?,?,0.56,?,6.3,0.56,96.5,?,CoCoRaHS
2018-02-15,Gunnison,Mexican Cut,TL,3094,-8,-4,-9,-9,93,3,346,?,?,?,?,?,?,?,?,RMBL
