CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-22,Steamboat,Range South,<TL,1928,-6,-1,-17,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-22,Steamboat,Steamboat Springs 1,<TL,2042,-5,-4,-17,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-01-22,Steamboat,U40-Steamboat (040W,<TL,2066,-9,-4,-16,-13,73,3,170,5,0.00,0.03,?,?,?,?,?,CODOT
2018-01-22,Steamboat,Steamboat Sprngs,<TL,2096,-12,-5,-16,-15,79,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-22,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.46,?,7.1,0.46,41.9,?,CoCoRaHS
2018-01-22,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,6.3,0.36,?,?,CoCoRaHS
2018-01-22,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,?,?,2.5,0.15,7.6,?,CoCoRaHS
2018-01-22,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.53,?,9.9,?,63.5,?,CoCoRaHS
2018-01-22,Steamboat,Gypsum,<TL,2237,-3,-3,-15,-12,51,3,180,11,?,0.15,0.15,?,?,?,?,RAWS
2018-01-22,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,2.5,?,?,?,CoCoRaHS
2018-01-22,Steamboat,Hangman,<TL,2388,-6,-6,-18,-13,57,6,219,13,?,0.20,?,?,?,?,?,RAWS
2018-01-22,Steamboat,Yampa Ranger Statio,<TL,2402,-10,-7,-20,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-22,Steamboat,Trapper North,<TL,2426,-11,-8,-19,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-22,Steamboat,Dry Lake,<TL,2560,-6,-6,-15,-10,74,1,157,5,?,?,0.25,?,?,91.4,21.34,SNOTEL
2018-01-22,Steamboat,Dry Lake,<TL,2565,-6,-6,-16,-11,66,5,172,8,?,0.00,0.00,?,?,?,?,RAWS
2018-01-22,Steamboat,Elk River,<TL,2652,-9,-7,-16,?,?,?,?,?,?,?,0.00,?,?,81.3,19.81,SNOTEL
2018-01-22,Steamboat,Elkhead Divide,<TL,2676,-9,-7,-16,?,?,?,?,?,?,?,0.00,?,?,86.4,19.05,SNOTEL
2018-01-22,Steamboat,Lynx Pass,<TL,2707,-9,-7,-15,?,?,?,?,?,?,?,0.51,?,?,61.0,13.72,SNOTEL
2018-01-22,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-22,Steamboat,Porcupine Cr,<TL,2725,-9,-8,-19,-14,69,10,104,13,?,0.00,0.00,?,?,?,?,RAWS
2018-01-22,Steamboat,Bear River,<TL,2768,-12,-7,-20,?,?,?,?,?,?,?,0.00,?,?,63.5,14.22,SNOTEL
2018-01-22,Steamboat,Crosho,<TL,2774,-7,-6,-18,?,?,?,?,?,?,?,0.00,?,?,40.6,10.41,SNOTEL
2018-01-22,Steamboat,Columbine,<TL,2792,-9,-8,-14,?,?,?,?,?,?,?,1.02,?,?,101.6,13.97,SNOTEL
2018-01-22,Steamboat,Buffalo Park,<TL,2817,-10,-9,-17,?,?,?,?,?,?,?,0.25,?,?,101.6,22.35,SNOTEL
2018-01-22,Steamboat,Lost Dog,<TL,2841,-9,-7,-14,?,?,?,?,?,?,?,0.00,?,?,94.0,23.88,SNOTEL
2018-01-22,Steamboat,Zirkel,<TL,2847,-8,-7,-17,?,?,?,?,?,?,?,0.25,?,?,106.7,28.70,SNOTEL
2018-01-22,Steamboat,Rabbit Ears,<TL,2865,-11,-8,-13,?,?,?,?,?,?,?,0.51,?,?,?,22.35,SNOTEL
2018-01-22,Steamboat,Burro Mountain,<TL,2865,-5,-5,-18,?,?,?,?,?,?,?,1.02,?,?,66.0,11.68,SNOTEL
2018-01-22,Steamboat,Steamboat Lake Stat,<TL,2871,-14,-8,-20,-18,70,1,108,4,?,?,?,?,?,48.0,?,CAIC
2018-01-22,Steamboat,Willow Creek Pass,<TL,2908,-11,-8,-24,?,?,?,?,?,?,?,0.25,?,?,101.6,20.32,SNOTEL
2018-01-22,Steamboat,Trapper Lake,<TL,2957,-9,-9,-19,?,?,?,?,?,?,?,?,?,?,25.4,7.11,SNOTEL
2018-01-22,Steamboat,Ripple Creek,TL,3152,-11,-10,-18,?,?,?,?,?,?,?,0.51,?,?,127.0,30.48,SNOTEL
2018-01-22,Steamboat,Tower,TL,3201,-13,-10,-17,?,?,?,?,?,?,?,0.00,?,?,154.9,43.18,SNOTEL
2018-01-22,Steamboat,Storm Peak Observat,TL,3210,-16,-13,-18,-17,92,3,263,3,?,?,?,?,?,?,?,DRI
2018-01-22,Steamboat,Bison Lake,TL,3316,-11,-11,-18,?,?,?,?,?,?,?,0.00,?,?,83.8,22.10,SNOTEL
2018-01-22,Gunnison,Paonia Reservoir nr,<TL,1975,-5,-2,-15,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-22,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,-7,-5,-14,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-22,Gunnison,Gunnison Arpt,<TL,2339,-10,-10,-20,-16,61,8,40,?,?,?,?,?,?,?,?,METAR
2018-01-22,Gunnison,CW1428 Gunnison,<TL,2352,-11,-4,-18,-18,55,2,290,?,?,?,?,?,?,?,?,APRSWXNET
2018-01-22,Gunnison,Gunnison 6.6 N CO,<TL,2422,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,?,?,CoCoRaHS
2018-01-22,Gunnison,Almont,<TL,2440,-11,-3,-26,?,?,?,?,?,?,?,0.05,?,?,?,?,HADS
2018-01-22,Gunnison,Parlin 2.7 ESE CO,<TL,2562,?,?,?,?,?,?,?,?,?,0.13,?,2.5,?,?,?,CoCoRaHS
2018-01-22,Gunnison,Crested Butte,<TL,2701,-9,-7,-22,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-22,Gunnison,Crested Butte (RWIS,<TL,2721,-12,-8,-21,-19,58,2,140,3,0.00,0.00,?,?,?,?,?,CODOT
2018-01-22,Gunnison,Silver Jack Reservo,<TL,2721,?,?,?,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-22,Gunnison,Taylor Park,<TL,2795,-17,-12,-27,?,?,?,?,?,?,?,0.15,?,?,?,?,HADS
2018-01-22,Gunnison,Kettle Ponds,<TL,2841,-14,-8,-20,-20,61,3,80,?,?,?,?,?,?,?,?,RMBL
2018-01-22,Gunnison,Billy Barr House,<TL,2905,-13,-8,-21,-19,58,3,156,?,?,?,?,?,?,?,?,RMBL
2018-01-22,Gunnison,Park Cone,<TL,2926,-11,-6,-19,?,?,?,?,?,?,?,?,?,?,50.8,11.18,SNOTEL
2018-01-22,Gunnison,Judd Falls,<TL,2974,-11,-9,-18,-20,49,3,151,?,?,?,?,?,?,?,?,RMBL
2018-01-22,Gunnison,Crested Butte 6.2 N,<TL,2991,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,66.0,?,CoCoRaHS
2018-01-22,Gunnison,Mexican Cut,TL,3094,-14,-13,-20,-21,56,4,319,?,?,?,?,?,?,?,?,RMBL
2018-01-22,Gunnison,Irwin Guides StudyP,TL,3170,-11,-11,-22,-17,59,5,107,10,0.28,?,0.51,?,?,85.3,?,IrwinGuide
2018-01-22,Gunnison,Taylor Park,TL,3201,-7,-7,-17,-16,51,10,148,16,?,0.00,0.00,?,?,?,?,RAWS
2018-01-22,Gunnison,Upper Taylor,TL,3243,-6,-6,-17,?,?,?,?,?,?,?,0.76,?,?,50.8,13.46,SNOTEL
2018-01-22,Gunnison,Snodgrass Mt,TL,3332,-15,-11,-19,-19,68,1,221,?,?,?,?,?,?,?,?,RMBL
2018-01-22,Gunnison,Crested Butte Mtn R,TL,3444,-15,-13,-19,?,?,15,228,22,?,?,?,?,?,?,?,CBMR
2018-01-22,Sangre,Cotopaxi 4.9 SE CO,<TL,2194,?,?,?,?,?,?,?,?,?,?,?,15.2,1.04,?,?,CoCoRaHS
2018-01-22,Sangre,Cotopaxi 4.8 SSE CO,<TL,2256,?,?,?,?,?,?,?,?,?,?,?,10.4,?,?,?,CoCoRaHS
2018-01-22,Sangre,Copper Gulch,<TL,2266,-3,-3,-17,-14,41,11,265,29,?,0.13,0.13,?,?,?,?,RAWS
2018-01-22,Sangre,Texas Creek 6.2 SE,<TL,2317,?,?,?,?,?,?,?,?,?,0.20,?,2.0,?,8.9,?,CoCoRaHS
2018-01-22,Sangre,Great Sand Dunes 7.,<TL,2349,?,?,?,?,?,?,?,?,?,0.36,?,5.1,?,5.1,?,CoCoRaHS
2018-01-22,Sangre,Crestone 1.2 SSE CO,<TL,2430,?,?,?,?,?,?,?,?,?,?,?,5.3,?,5.3,?,CoCoRaHS
2018-01-22,Sangre,Sand Dunes,<TL,2537,-7,-5,-16,-15,53,10,262,19,?,0.08,0.08,?,?,?,?,RAWS
