CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-02-28,Steamboat,Range South,<TL,1928,6,11,-4,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-02-28,Steamboat,Steamboat Springs 1,<TL,2042,-3,9,-11,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-28,Steamboat,U40-Steamboat (040W,<TL,2066,-3,7,-13,-9,60,3,205,6,0.00,0.03,?,?,?,?,?,CODOT
2018-02-28,Steamboat,Steamboat Sprngs,<TL,2096,-3,4,-10,-10,59,0,0,?,?,?,?,?,?,?,?,METAR
2018-02-28,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,53.3,?,CoCoRaHS
2018-02-28,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-28,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,5.1,?,CoCoRaHS
2018-02-28,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,81.3,?,CoCoRaHS
2018-02-28,Steamboat,Gypsum,<TL,2237,6,9,-6,-10,30,11,213,23,?,0.00,?,?,?,?,?,RAWS
2018-02-28,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-28,Steamboat,Hangman,<TL,2388,2,6,-7,-11,39,8,172,18,?,0.00,?,?,?,?,?,RAWS
2018-02-28,Steamboat,Yampa Ranger Statio,<TL,2402,-2,4,-11,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-28,Steamboat,Trapper North,<TL,2426,-5,6,-11,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-02-28,Steamboat,Dry Lake,<TL,2560,-3,4,-9,-9,62,4,225,7,?,?,0.25,?,?,?,34.80,SNOTEL
2018-02-28,Steamboat,Dry Lake,<TL,2565,-4,4,-8,-10,61,6,220,13,?,0.05,?,?,?,?,?,RAWS
2018-02-28,Steamboat,Elk River,<TL,2652,-4,3,-9,?,?,?,?,?,?,?,0.00,?,?,106.7,30.99,SNOTEL
2018-02-28,Steamboat,Elkhead Divide,<TL,2676,-5,4,-9,?,?,?,?,?,?,?,0.25,?,?,111.8,29.21,SNOTEL
2018-02-28,Steamboat,Lynx Pass,<TL,2707,-3,4,-8,?,?,?,?,?,?,?,0.00,?,?,76.2,20.57,SNOTEL
2018-02-28,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-28,Steamboat,Porcupine Cr,<TL,2725,-4,3,-11,-11,59,10,17,23,?,0.00,?,?,?,?,?,RAWS
2018-02-28,Steamboat,Bear River,<TL,2768,-4,2,-12,?,?,?,?,?,?,?,0.00,?,?,81.3,21.59,SNOTEL
2018-02-28,Steamboat,Crosho,<TL,2774,-4,4,-10,?,?,?,?,?,?,?,0.00,?,?,71.1,19.05,SNOTEL
2018-02-28,Steamboat,Columbine,<TL,2792,-2,3,-11,?,?,?,?,?,?,?,0.00,?,?,124.5,46.48,SNOTEL
2018-02-28,Steamboat,Buffalo Park,<TL,2817,-2,4,-12,?,?,?,?,?,?,?,0.00,?,?,114.3,32.26,SNOTEL
2018-02-28,Steamboat,Lost Dog,<TL,2841,-6,1,-7,?,?,?,?,?,?,?,0.00,?,?,127.0,38.35,SNOTEL
2018-02-28,Steamboat,Zirkel,<TL,2847,-3,2,-8,?,?,?,?,?,?,?,0.25,?,?,160.0,54.36,SNOTEL
2018-02-28,Steamboat,Rabbit Ears,<TL,2865,-5,3,-11,?,?,?,?,?,?,?,0.25,?,?,127.0,33.27,SNOTEL
2018-02-28,Steamboat,Burro Mountain,<TL,2865,1,4,-11,?,?,?,?,?,?,?,0.00,?,?,78.7,20.83,SNOTEL
2018-02-28,Steamboat,Steamboat Lake Stat,<TL,2871,-6,2,-12,-10,74,8,281,25,?,?,?,?,?,65.0,?,CAIC
2018-02-28,Steamboat,Willow Creek Pass,<TL,2908,-2,3,-11,?,?,?,?,?,?,?,0.25,?,?,106.7,27.18,SNOTEL
2018-02-28,Steamboat,Trapper Lake,<TL,2957,-2,0,-9,?,?,?,?,?,?,?,?,?,?,7.6,6.10,SNOTEL
2018-02-28,Steamboat,Ripple Creek,TL,3152,-3,1,-11,?,?,?,?,?,?,?,0.00,?,?,?,44.45,SNOTEL
2018-02-28,Steamboat,Tower,TL,3201,-8,-2,-11,?,?,?,?,?,?,?,1.02,?,?,215.9,68.83,SNOTEL
