CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-15,Steamboat,Range South,<TL,1928,-4,10,-12,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-15,Steamboat,Steamboat Springs 1,<TL,2042,-9,4,-16,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-15,Steamboat,U40-Steamboat (040W,<TL,2066,-9,4,-18,-11,95,2,65,3,0.00,0.00,?,?,?,?,?,CODOT
2018-01-15,Steamboat,Steamboat Sprngs,<TL,2096,-10,0,-15,-11,92,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-15,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,?,?,0.0,0.00,33.0,?,CoCoRaHS
2018-01-15,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-15,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,1.3,?,CoCoRaHS
2018-01-15,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,?,?,0.0,?,57.1,?,CoCoRaHS
2018-01-15,Steamboat,Gypsum,<TL,2237,0,8,-9,-9,50,6,335,11,?,0.00,0.00,?,?,?,?,RAWS
2018-01-15,Steamboat,Hangman,<TL,2388,-3,6,-9,-10,59,6,180,11,?,0.00,?,?,?,?,?,RAWS
2018-01-15,Steamboat,Yampa Ranger Statio,<TL,2402,-4,5,-11,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-15,Steamboat,Trapper North,<TL,2426,-6,6,-11,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-15,Steamboat,Dry Lake,<TL,2560,-4,2,-8,-6,82,1,180,4,?,?,0.00,?,?,?,19.56,SNOTEL
2018-01-15,Steamboat,Dry Lake,<TL,2565,-4,3,-7,-8,76,3,199,8,?,0.94,0.94,?,?,?,?,RAWS
2018-01-15,Steamboat,Elk River,<TL,2652,-4,2,-7,?,?,?,?,?,?,?,0.25,?,?,76.2,19.05,SNOTEL
2018-01-15,Steamboat,Elkhead Divide,<TL,2676,-4,1,-6,?,?,?,?,?,?,?,0.00,?,?,78.7,17.78,SNOTEL
2018-01-15,Steamboat,Lynx Pass,<TL,2707,-4,2,-14,?,?,?,?,?,?,?,0.00,?,?,50.8,11.94,SNOTEL
2018-01-15,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-15,Steamboat,Porcupine Cr,<TL,2725,-6,8,-17,-7,88,3,286,8,?,0.74,0.74,?,?,?,?,RAWS
2018-01-15,Steamboat,Bear River,<TL,2768,-4,0,-12,?,?,?,?,?,?,?,0.25,?,?,53.3,13.97,SNOTEL
2018-01-15,Steamboat,Crosho,<TL,2774,-3,2,-6,?,?,?,?,?,?,?,0.00,?,?,43.2,9.65,SNOTEL
2018-01-15,Steamboat,Columbine,<TL,2792,-5,2,-9,?,?,?,?,?,?,?,0.76,?,?,86.4,13.97,SNOTEL
2018-01-15,Steamboat,Buffalo Park,<TL,2817,-5,1,-14,?,?,?,?,?,?,?,0.00,?,?,91.4,21.34,SNOTEL
