CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-30,Steamboat,Range South,<TL,1928,4,12,-9,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-30,Steamboat,Steamboat Springs 1,<TL,2042,2,5,-8,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-30,Steamboat,U40-Steamboat (040W,<TL,2066,1,7,-11,-8,54,6,220,11,0.00,0.00,?,?,?,?,?,CODOT
2018-01-30,Steamboat,Steamboat Sprngs,<TL,2096,-1,3,-7,-7,62,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-30,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,?,?,0.0,0.00,34.3,?,CoCoRaHS
2018-01-30,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-30,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,2.5,?,CoCoRaHS
2018-01-30,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,?,?,0.0,?,58.4,?,CoCoRaHS
2018-01-30,Steamboat,Gypsum,<TL,2237,8,11,-5,-8,30,10,132,14,?,0.00,0.00,?,?,?,?,RAWS
2018-01-30,Steamboat,Hangman,<TL,2388,4,7,-6,-9,36,8,156,13,?,0.00,?,?,?,?,?,RAWS
2018-01-30,Steamboat,Yampa Ranger Statio,<TL,2402,7,7,-6,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-30,Steamboat,Trapper North,<TL,2426,7,8,-6,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-30,Steamboat,Dry Lake,<TL,2560,6,6,-2,-12,28,3,235,7,?,?,0.25,?,?,91.4,22.86,SNOTEL
2018-01-30,Steamboat,Dry Lake,<TL,2565,7,7,-2,-12,26,8,259,13,?,0.00,0.00,?,?,?,?,RAWS
2018-01-30,Steamboat,Elk River,<TL,2652,5,5,-1,?,?,?,?,?,?,?,0.00,?,?,76.2,21.34,SNOTEL
2018-01-30,Steamboat,Elkhead Divide,<TL,2676,3,3,0,?,?,?,?,?,?,?,0.00,?,?,78.7,20.07,SNOTEL
2018-01-30,Steamboat,Lynx Pass,<TL,2707,5,5,-6,?,?,?,?,?,?,?,0.25,?,?,50.8,14.48,SNOTEL
2018-01-30,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-30,Steamboat,Porcupine Cr,<TL,2725,6,6,-10,-10,30,6,117,19,?,0.00,0.00,?,?,?,?,RAWS
2018-01-30,Steamboat,Bear River,<TL,2768,6,6,-5,?,?,?,?,?,?,?,0.25,?,?,55.9,15.24,SNOTEL
2018-01-30,Steamboat,Crosho,<TL,2774,8,8,-3,?,?,?,?,?,?,?,0.51,?,?,40.6,10.41,SNOTEL
2018-01-30,Steamboat,Columbine,<TL,2792,6,6,-7,?,?,?,?,?,?,?,0.00,?,?,91.4,13.97,SNOTEL
2018-01-30,Steamboat,Buffalo Park,<TL,2817,6,6,-12,?,?,?,?,?,?,?,0.00,?,?,91.4,23.62,SNOTEL
2018-01-30,Steamboat,Lost Dog,<TL,2841,3,3,-2,?,?,?,?,?,?,?,0.00,?,?,424.2,25.65,SNOTEL
2018-01-30,Steamboat,Zirkel,<TL,2847,4,4,-1,?,?,?,?,?,?,?,0.00,?,?,104.1,31.75,SNOTEL
2018-01-30,Steamboat,Burro Mountain,<TL,2865,7,7,-2,?,?,?,?,?,?,?,0.25,?,?,53.3,12.95,SNOTEL
