CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2017-12-16,Steamboat,Range South,<TL,1928,-6,4,-14,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2017-12-16,Steamboat,Steamboat Springs 1,<TL,2042,-2,5,-13,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-16,Steamboat,U40-Steamboat (040W,<TL,2066,-2,6,-16,-8,66,2,160,3,0.00,0.00,?,?,?,?,?,CODOT
2017-12-16,Steamboat,Steamboat Sprngs,<TL,2096,-5,2,-12,-11,60,0,0,?,?,?,?,?,?,?,?,METAR
2017-12-16,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,1.3,?,CoCoRaHS
2017-12-16,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-16,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2017-12-16,Steamboat,Gypsum,<TL,2237,-5,3,-11,-13,52,3,355,10,?,0.00,0.00,?,?,?,?,RAWS
2017-12-16,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2017-12-16,Steamboat,Hangman,<TL,2388,-4,2,-10,-14,46,5,254,11,?,0.00,?,?,?,?,?,RAWS
2017-12-16,Steamboat,Yampa Ranger Statio,<TL,2402,1,3,-6,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2017-12-16,Steamboat,Trapper North,<TL,2426,1,4,-7,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2017-12-16,Steamboat,Dry Lake,<TL,2560,3,5,-6,-16,23,1,258,4,?,?,0.76,?,?,35.6,8.89,SNOTEL
2017-12-16,Steamboat,Dry Lake,<TL,2565,3,7,-6,-17,22,2,214,6,?,0.15,0.15,?,?,?,?,RAWS
2017-12-16,Steamboat,Elk River,<TL,2652,3,4,-4,?,?,?,?,?,?,?,0.00,?,?,30.5,9.14,SNOTEL
2017-12-16,Steamboat,Elkhead Divide,<TL,2676,2,3,-2,?,?,?,?,?,?,?,0.00,?,?,?,6.35,SNOTEL
2017-12-16,Steamboat,Lynx Pass,<TL,2707,1,2,-13,?,?,?,?,?,?,?,0.00,?,?,20.3,6.10,SNOTEL
2017-12-16,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-16,Steamboat,Porcupine Cr,<TL,2725,-3,4,-16,-13,44,3,170,14,?,0.03,0.03,?,?,?,?,RAWS
2017-12-16,Steamboat,Bear River,<TL,2768,2,2,-9,?,?,?,?,?,?,?,0.25,?,?,30.5,9.65,SNOTEL
2017-12-16,Steamboat,Crosho,<TL,2774,2,4,-7,?,?,?,?,?,?,?,0.25,?,?,17.8,5.33,SNOTEL
2017-12-16,Steamboat,Columbine,<TL,2792,3,3,-8,?,?,?,?,?,?,?,0.25,?,?,43.2,8.89,SNOTEL
2017-12-16,Steamboat,Buffalo Park,<TL,2817,-1,1,-15,?,?,?,?,?,?,?,0.25,?,?,40.6,11.43,SNOTEL
2017-12-16,Steamboat,Lost Dog,<TL,2841,3,3,-1,?,?,?,?,?,?,?,0.00,?,?,40.6,10.92,SNOTEL
2017-12-16,Steamboat,Zirkel,<TL,2847,2,2,-2,?,?,?,?,?,?,?,0.00,?,?,48.3,12.95,SNOTEL
2017-12-16,Steamboat,Rabbit Ears,<TL,2865,1,4,-6,?,?,?,?,?,?,?,0.25,?,?,?,10.16,SNOTEL
2017-12-16,Steamboat,Burro Mountain,<TL,2865,3,5,-3,?,?,?,?,?,?,?,0.00,?,?,17.8,4.06,SNOTEL
2017-12-16,Steamboat,Steamboat Lake Stat,<TL,2871,-8,4,-15,-12,70,2,105,9,?,?,?,?,?,14.0,?,CAIC
2017-12-16,Steamboat,Willow Creek Pass,<TL,2908,-1,0,-11,?,?,?,?,?,?,?,0.51,?,?,53.3,13.97,SNOTEL
2017-12-16,Steamboat,Trapper Lake,<TL,2957,4,9,-4,?,?,?,?,?,?,?,0.25,?,?,15.2,5.59,SNOTEL
2017-12-16,Steamboat,Ripple Creek,TL,3152,2,2,-5,?,?,?,?,?,?,?,0.51,?,?,61.0,17.78,SNOTEL
2017-12-16,Steamboat,Tower,TL,3201,1,1,-5,?,?,?,?,?,?,?,0.51,?,?,81.3,23.62,SNOTEL
2017-12-16,Steamboat,Storm Peak Observat,TL,3210,-2,-2,-6,-22,20,3,232,3,?,?,?,?,?,?,?,DRI
2017-12-16,Steamboat,Bison Lake,TL,3316,1,1,-4,?,?,?,?,?,?,?,0.25,?,?,27.9,10.67,SNOTEL
2017-12-16,Gunnison,Paonia Reservoir nr,<TL,1975,-3,11,-10,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-16,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,-5,4,-10,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2017-12-16,Gunnison,Gunnison Arpt,<TL,2339,-9,-8,-16,-15,61,0,0,?,?,?,?,?,?,?,?,METAR
2017-12-16,Gunnison,Gunnison 0.8 NNW CO,<TL,2349,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-16,Gunnison,CW1428 Gunnison,<TL,2352,-8,3,-14,-17,46,0,66,?,?,?,?,?,?,?,?,APRSWXNET
2017-12-16,Gunnison,Gunnison 6.6 N CO,<TL,2422,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
