CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-10,Steamboat,Range South,<TL,1928,7,13,0,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-10,Steamboat,Steamboat Springs 1,<TL,2042,4,4,0,?,?,?,?,?,?,?,0.36,?,?,?,?,HADS
2018-01-10,Steamboat,U40-Steamboat (040W,<TL,2066,3,3,-2,3,99,5,5,10,0.00,0.03,?,?,?,?,?,CODOT
2018-01-10,Steamboat,Steamboat Sprngs,<TL,2096,1,2,0,1,99,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-10,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.15,?,0.0,0.00,25.4,?,CoCoRaHS
2018-01-10,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.3,0.00,1.3,?,CoCoRaHS
2018-01-10,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.05,?,0.0,?,45.7,?,CoCoRaHS
2018-01-10,Steamboat,Gypsum,<TL,2237,5,12,1,1,74,10,215,23,?,0.00,0.00,?,?,?,?,RAWS
2018-01-10,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-10,Steamboat,Hangman,<TL,2388,4,9,2,0,78,14,200,29,?,0.00,?,?,?,?,?,RAWS
2018-01-10,Steamboat,Yampa Ranger Statio,<TL,2402,3,7,0,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-10,Steamboat,Trapper North,<TL,2426,4,6,-1,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-10,Steamboat,Dry Lake,<TL,2560,2,6,1,1,94,1,206,6,?,?,0.25,?,?,?,17.02,SNOTEL
2018-01-10,Steamboat,Dry Lake,<TL,2565,1,8,0,0,97,8,268,18,?,0.18,0.18,?,?,?,?,RAWS
2018-01-10,Steamboat,Elk River,<TL,2652,2,4,1,?,?,?,?,?,?,?,0.51,?,?,?,16.00,SNOTEL
2018-01-10,Steamboat,Elkhead Divide,<TL,2676,1,3,1,?,?,?,?,?,?,?,2.03,?,?,?,15.24,SNOTEL
2018-01-10,Steamboat,Lynx Pass,<TL,2707,3,7,1,?,?,?,?,?,?,?,0.00,?,?,38.1,10.16,SNOTEL
2018-01-10,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
