CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-02-11,Steamboat,Range South,<TL,1928,-4,2,-14,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-02-11,Steamboat,Steamboat Springs 1,<TL,2042,-6,-2,-19,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-02-11,Steamboat,U40-Steamboat (040W,<TL,2066,-7,-1,-21,-11,77,2,205,6,0.00,0.00,?,?,?,?,?,CODOT
2018-02-11,Steamboat,Steamboat Sprngs,<TL,2096,-11,-2,-18,-15,72,0,0,?,?,?,?,?,?,?,?,METAR
2018-02-11,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,?,?,6.1,0.48,34.3,?,CoCoRaHS
2018-02-11,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,5.1,0.38,?,?,CoCoRaHS
2018-02-11,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.25,?,3.3,0.25,2.5,?,CoCoRaHS
2018-02-11,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.66,?,8.6,?,58.4,?,CoCoRaHS
2018-02-11,Steamboat,Gypsum,<TL,2237,-4,-3,-16,-11,59,6,183,13,?,0.00,?,?,?,?,?,RAWS
2018-02-11,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-11,Steamboat,Hangman,<TL,2388,-7,-3,-14,-16,49,10,158,18,?,0.00,?,?,?,?,?,RAWS
2018-02-11,Steamboat,Yampa Ranger Statio,<TL,2402,-12,-4,-17,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-11,Steamboat,Trapper North,<TL,2426,-6,-3,-17,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-02-11,Steamboat,Dry Lake,<TL,2560,-5,-4,-15,-13,53,3,173,8,?,?,0.25,?,?,99.1,26.67,SNOTEL
2018-02-11,Steamboat,Dry Lake,<TL,2565,-7,-5,-14,-16,47,13,224,18,?,0.00,?,?,?,?,?,RAWS
2018-02-11,Steamboat,Elk River,<TL,2652,-7,-4,-16,?,?,?,?,?,?,?,0.00,?,?,81.3,23.88,SNOTEL
2018-02-11,Steamboat,Elkhead Divide,<TL,2676,-6,-5,-15,?,?,?,?,?,?,?,0.00,?,?,78.7,21.08,SNOTEL
2018-02-11,Steamboat,Lynx Pass,<TL,2707,-7,-5,-19,?,?,?,?,?,?,?,0.25,?,?,58.4,16.26,SNOTEL
2018-02-11,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-11,Steamboat,Porcupine Cr,<TL,2725,-7,-6,-22,-16,49,14,204,23,?,0.00,?,?,?,?,?,RAWS
