CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-02-17,Steamboat,Range South,<TL,1928,4,4,-4,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-02-17,Steamboat,Steamboat Springs 1,<TL,2042,3,3,-16,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-02-17,Steamboat,U40-Steamboat (040W,<TL,2066,1,1,-11,-12,36,10,5,16,0.00,0.00,?,?,?,?,?,CODOT
2018-02-17,Steamboat,Steamboat Sprngs,<TL,2096,0,0,-13,-12,41,0,0,?,?,?,?,?,?,?,?,METAR
2018-02-17,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,?,?,0.0,0.00,54.6,?,CoCoRaHS
2018-02-17,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-17,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,5.1,?,CoCoRaHS
2018-02-17,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,81.3,?,CoCoRaHS
2018-02-17,Steamboat,Gypsum,<TL,2237,6,6,-6,-9,32,6,228,18,?,0.00,?,?,?,?,?,RAWS
2018-02-17,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-02-17,Steamboat,Hangman,<TL,2388,1,2,-6,-11,39,24,198,39,?,0.00,?,?,?,?,?,RAWS
2018-02-17,Steamboat,Yampa Ranger Statio,<TL,2402,0,0,-10,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-17,Steamboat,Trapper North,<TL,2426,1,1,-14,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-02-17,Steamboat,Dry Lake,<TL,2560,-1,-1,-7,-11,46,5,231,10,?,?,0.00,?,?,121.9,30.48,SNOTEL
2018-02-17,Steamboat,Dry Lake,<TL,2565,-2,-2,-8,-12,44,16,242,23,?,0.38,?,?,?,?,?,RAWS
2018-02-17,Steamboat,Elk River,<TL,2652,-3,-2,-7,?,?,?,?,?,?,?,0.51,?,?,114.3,28.45,SNOTEL
2018-02-17,Steamboat,Elkhead Divide,<TL,2676,-2,-2,-8,?,?,?,?,?,?,?,0.00,?,?,111.8,26.16,SNOTEL
2018-02-17,Steamboat,Lynx Pass,<TL,2707,0,0,-10,?,?,?,?,?,?,?,0.25,?,?,76.2,19.05,SNOTEL
2018-02-17,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,1.3,?,?,?,CoCoRaHS
2018-02-17,Steamboat,Porcupine Cr,<TL,2725,-1,-1,-12,-13,41,19,249,32,?,0.18,?,?,?,?,?,RAWS
2018-02-17,Steamboat,Bear River,<TL,2768,-2,-2,-12,?,?,?,?,?,?,?,0.00,?,?,81.3,19.30,SNOTEL
2018-02-17,Steamboat,Crosho,<TL,2774,1,1,-9,?,?,?,?,?,?,?,0.51,?,?,81.3,17.53,SNOTEL
2018-02-17,Steamboat,Columbine,<TL,2792,-2,-2,-9,?,?,?,?,?,?,?,0.25,?,?,139.7,41.40,SNOTEL
2018-02-17,Steamboat,Buffalo Park,<TL,2817,-1,-1,-9,?,?,?,?,?,?,?,0.25,?,?,121.9,30.23,SNOTEL
2018-02-17,Steamboat,Lost Dog,<TL,2841,-5,-5,-9,?,?,?,?,?,?,?,0.00,?,?,421.6,34.80,SNOTEL
2018-02-17,Steamboat,Zirkel,<TL,2847,-4,-4,-9,?,?,?,?,?,?,?,1.02,?,?,180.3,50.29,SNOTEL
2018-02-17,Steamboat,Rabbit Ears,<TL,2865,-4,-1,-9,?,?,?,?,?,?,?,1.02,?,?,129.5,30.73,SNOTEL
2018-02-17,Steamboat,Burro Mountain,<TL,2865,1,1,-12,?,?,?,?,?,?,?,0.25,?,?,76.2,17.53,SNOTEL
2018-02-17,Steamboat,Steamboat Lake Stat,<TL,2871,-6,-2,-13,-12,61,4,41,7,?,?,?,?,?,67.8,?,CAIC
2018-02-17,Steamboat,Willow Creek Pass,<TL,2908,-3,-2,-9,?,?,?,?,?,?,?,0.25,?,?,109.2,25.40,SNOTEL
2018-02-17,Steamboat,Trapper Lake,<TL,2957,-1,-1,-8,?,?,?,?,?,?,?,0.00,?,?,20.3,8.13,SNOTEL
2018-02-17,Steamboat,Ripple Creek,TL,3152,-5,-4,-12,?,?,?,?,?,?,?,0.00,?,?,?,39.62,SNOTEL
2018-02-17,Steamboat,Tower,TL,3201,-7,-5,-12,?,?,?,?,?,?,?,0.25,?,?,226.1,63.75,SNOTEL
2018-02-17,Steamboat,Storm Peak Observat,TL,3210,-10,-4,-14,-10,100,4,283,12,?,?,?,?,?,?,?,DRI
2018-02-17,Steamboat,Walton Peak,TL,3224,-8,-7,-12,-10,85,15,260,37,?,?,?,?,?,?,?,METAR
2018-02-17,Steamboat,Bison Lake,TL,3316,-6,-6,-12,?,?,?,?,?,?,?,3.30,?,?,124.5,31.75,SNOTEL
2018-02-17,Gunnison,Paonia Reservoir nr,<TL,1975,0,7,-11,?,?,?,?,?,?,?,0.13,?,?,?,?,HADS
2018-02-17,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,1,2,-8,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-02-17,Gunnison,Gunnison Arpt,<TL,2339,2,2,-11,-12,35,0,0,?,?,?,?,?,?,?,?,METAR
2018-02-17,Gunnison,Gunnison 0.8 NNW CO,<TL,2349,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-02-17,Gunnison,CW1428 Gunnison,<TL,2352,0,2,-11,-12,40,2,41,?,?,?,?,?,?,?,?,APRSWXNET
