CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-02-06,Steamboat,Range South,<TL,1928,4,10,-1,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-02-06,Steamboat,Steamboat Springs 1,<TL,2042,0,5,-5,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-02-06,Steamboat,U40-Steamboat (040W,<TL,2066,1,7,-5,-2,84,6,140,10,0.00,0.03,?,?,?,?,?,CODOT
2018-02-06,Steamboat,Steamboat Sprngs,<TL,2096,-1,5,-5,-5,78,0,0,?,?,?,?,?,?,?,?,METAR
2018-02-06,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.15,?,1.3,0.08,30.5,?,CoCoRaHS
2018-02-06,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,1.5,0.10,?,?,CoCoRaHS
2018-02-06,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.05,?,2.8,?,2.5,1.78,CoCoRaHS
2018-02-06,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.15,?,1.3,?,58.4,?,CoCoRaHS
2018-02-06,Steamboat,Gypsum,<TL,2237,0,7,-3,-4,77,0,325,6,?,0.10,?,?,?,?,?,RAWS
2018-02-06,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-02-06,Steamboat,Hangman,<TL,2388,0,7,-5,-6,63,16,8,31,?,0.08,?,?,?,?,?,RAWS
2018-02-06,Steamboat,Yampa Ranger Statio,<TL,2402,-1,4,-7,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-02-06,Steamboat,Trapper North,<TL,2426,-4,2,-7,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-02-06,Steamboat,Dry Lake,<TL,2560,-2,3,-5,-5,82,3,220,7,?,?,0.25,?,?,?,25.40,SNOTEL
2018-02-06,Steamboat,Dry Lake,<TL,2565,-3,2,-6,-6,82,10,249,16,?,0.23,?,?,?,?,?,RAWS
2018-02-06,Steamboat,Elk River,<TL,2652,-2,1,-6,?,?,?,?,?,?,?,0.25,?,?,?,23.37,SNOTEL
2018-02-06,Steamboat,Elkhead Divide,<TL,2676,-3,1,-6,?,?,?,?,?,?,?,0.25,?,?,78.7,21.08,SNOTEL
2018-02-06,Steamboat,Lynx Pass,<TL,2707,-3,3,-7,?,?,?,?,?,?,?,0.25,?,?,63.5,15.75,SNOTEL
2018-02-06,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,5.1,?,?,?,CoCoRaHS
2018-02-06,Steamboat,Porcupine Cr,<TL,2725,-3,4,-10,-8,65,8,330,24,?,0.36,?,?,?,?,?,RAWS
2018-02-06,Steamboat,Bear River,<TL,2768,-3,3,-7,?,?,?,?,?,?,?,0.51,?,?,63.5,16.51,SNOTEL
2018-02-06,Steamboat,Crosho,<TL,2774,-2,2,-5,?,?,?,?,?,?,?,0.00,?,?,50.8,12.19,SNOTEL
2018-02-06,Steamboat,Columbine,<TL,2792,-3,0,-9,?,?,?,?,?,?,?,0.25,?,?,119.4,35.56,SNOTEL
2018-02-06,Steamboat,Buffalo Park,<TL,2817,-3,2,-11,?,?,?,?,?,?,?,0.51,?,?,?,26.67,SNOTEL
2018-02-06,Steamboat,Lost Dog,<TL,2841,-4,-1,-6,?,?,?,?,?,?,?,0.25,?,?,106.7,28.70,SNOTEL
2018-02-06,Steamboat,Zirkel,<TL,2847,-2,0,-6,?,?,?,?,?,?,?,0.25,?,?,139.7,40.89,SNOTEL
2018-02-06,Steamboat,Rabbit Ears,<TL,2865,-5,-1,-6,?,?,?,?,?,?,?,0.00,?,?,104.1,25.91,SNOTEL
2018-02-06,Steamboat,Burro Mountain,<TL,2865,-3,3,-5,?,?,?,?,?,?,?,0.00,?,?,?,12.95,SNOTEL
2018-02-06,Steamboat,Steamboat Lake Stat,<TL,2871,-4,1,-9,-8,69,5,236,15,?,?,?,?,?,48.0,?,CAIC
2018-02-06,Steamboat,Willow Creek Pass,<TL,2908,-3,0,-13,?,?,?,?,?,?,?,0.00,?,?,88.9,22.10,SNOTEL
2018-02-06,Steamboat,Trapper Lake,<TL,2957,-4,1,-8,?,?,?,?,?,?,?,0.00,?,?,?,7.37,SNOTEL
2018-02-06,Steamboat,Ripple Creek,TL,3152,-6,-2,-9,?,?,?,?,?,?,?,0.00,?,?,121.9,33.53,SNOTEL
