CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-23,Steamboat,Range South,<TL,1928,-2,0,-13,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-23,Steamboat,Steamboat Springs 1,<TL,2042,-6,-5,-13,?,?,?,?,?,?,?,0.03,?,?,?,?,HADS
2018-01-23,Steamboat,U40-Steamboat (040W,<TL,2066,-5,-1,-18,-8,81,3,165,6,0.00,0.03,?,?,?,?,?,CODOT
2018-01-23,Steamboat,Steamboat Sprngs,<TL,2096,-7,-7,-13,-10,77,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-23,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.03,?,3.0,0.03,41.9,?,CoCoRaHS
2018-01-23,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,3.0,0.05,?,?,CoCoRaHS
2018-01-23,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,7.6,?,CoCoRaHS
2018-01-23,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.08,?,4.1,?,64.8,?,CoCoRaHS
2018-01-23,Steamboat,Gypsum,<TL,2237,0,0,-11,-9,50,5,171,11,?,0.28,0.28,?,?,?,?,RAWS
2018-01-23,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,0.0,?,7.6,?,CoCoRaHS
2018-01-23,Steamboat,Hangman,<TL,2388,-3,-1,-14,-11,54,5,152,10,?,0.30,?,?,?,?,?,RAWS
2018-01-23,Steamboat,Yampa Ranger Statio,<TL,2402,-5,-5,-15,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-23,Steamboat,Trapper North,<TL,2426,-2,-2,-15,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-23,Steamboat,Dry Lake,<TL,2560,-5,-4,-12,-8,80,3,232,7,?,?,0.00,?,?,?,21.59,SNOTEL
2018-01-23,Steamboat,Dry Lake,<TL,2565,-7,-5,-12,-11,76,11,221,18,?,0.38,0.38,?,?,?,?,RAWS
2018-01-23,Steamboat,Elk River,<TL,2652,-7,-6,-10,?,?,?,?,?,?,?,0.76,?,?,?,20.83,SNOTEL
2018-01-23,Steamboat,Elkhead Divide,<TL,2676,-7,-5,-10,?,?,?,?,?,?,?,0.51,?,?,?,19.56,SNOTEL
2018-01-23,Steamboat,Lynx Pass,<TL,2707,-5,-5,-15,?,?,?,?,?,?,?,0.25,?,?,55.9,13.72,SNOTEL
2018-01-23,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,1.3,?,?,?,CoCoRaHS
2018-01-23,Steamboat,Porcupine Cr,<TL,2725,-8,-6,-17,-12,70,14,247,19,?,0.41,0.41,?,?,?,?,RAWS
2018-01-23,Steamboat,Bear River,<TL,2768,-7,-7,-14,?,?,?,?,?,?,?,0.51,?,?,61.0,14.99,SNOTEL
2018-01-23,Steamboat,Crosho,<TL,2774,-4,-4,-13,?,?,?,?,?,?,?,0.00,?,?,43.2,10.67,SNOTEL
2018-01-23,Steamboat,Columbine,<TL,2792,-7,-6,-15,?,?,?,?,?,?,?,1.27,?,?,?,13.97,SNOTEL
