CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2017-12-18,Steamboat,Range South,<TL,1928,-6,5,-13,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2017-12-18,Steamboat,Steamboat Springs 1,<TL,2042,-2,0,-11,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2017-12-18,Steamboat,U40-Steamboat (040W,<TL,2066,-2,1,-13,-8,66,2,105,5,0.00,0.00,?,?,?,?,?,CODOT
2017-12-18,Steamboat,Steamboat Sprngs,<TL,2096,-4,-1,-10,-7,75,0,0,?,?,?,?,?,?,?,?,METAR
2017-12-18,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,?,?,0.0,?,1.3,?,CoCoRaHS
2017-12-18,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-18,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,0.0,?,CoCoRaHS
2017-12-18,Steamboat,Gypsum,<TL,2237,-4,6,-11,-11,59,3,354,6,?,0.00,0.00,?,?,?,?,RAWS
2017-12-18,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-18,Steamboat,Hangman,<TL,2388,-5,3,-11,-11,65,2,136,5,?,0.00,?,?,?,?,?,RAWS
2017-12-18,Steamboat,Yampa Ranger Statio,<TL,2402,-2,-2,-11,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2017-12-18,Steamboat,Trapper North,<TL,2426,-3,-2,-11,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2017-12-18,Steamboat,Dry Lake,<TL,2560,0,0,-9,-8,56,1,281,6,?,?,0.00,?,?,35.6,9.14,SNOTEL
2017-12-18,Steamboat,Dry Lake,<TL,2565,-2,-2,-9,-9,57,3,290,8,?,0.00,0.00,?,?,?,?,RAWS
2017-12-18,Steamboat,Elk River,<TL,2652,-2,-2,-9,?,?,?,?,?,?,?,0.00,?,?,30.5,8.89,SNOTEL
2017-12-18,Steamboat,Elkhead Divide,<TL,2676,-1,-1,-8,?,?,?,?,?,?,?,0.00,?,?,?,6.10,SNOTEL
2017-12-18,Steamboat,Lynx Pass,<TL,2707,-4,-1,-15,?,?,?,?,?,?,?,0.00,?,?,22.9,6.10,SNOTEL
2017-12-18,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2017-12-18,Steamboat,Porcupine Cr,<TL,2725,-6,-1,-17,-9,83,0,356,6,?,0.00,0.00,?,?,?,?,RAWS
