,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,17,17,2018-01-01,Sawatch,TL,3192.733333333333,-0.26666666666666666,0.8666666666666667,-9.8,-22.4,20.933333333333334,7.866666666666666,178.8,16.2,0.0,0.0,0.0,0.0,0.0,24.71333333333333,6.166,no,11
1,43,17,2018-01-02,Sawatch,TL,3192.733333333333,-4.2,1.2666666666666666,-12.0,-29.73333333333333,14.0,9.0,160.4,22.86666666666667,0.0,0.0,0.016666666666666666,0.0,0.0,26.246666666666673,6.1320000000000014,no,12
2,69,17,2018-01-03,Sawatch,TL,3192.733333333333,1.0,1.0666666666666669,-10.933333333333335,-23.266666666666666,15.533333333333333,7.7333333333333325,244.9333333333333,23.13333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,25.74,6.1320000000000014,no,13
3,95,17,2018-01-04,Sawatch,TL,3204.357142857143,1.4285714285714286,3.2857142857142856,-9.785714285714286,-24.5,13.785714285714285,4.214285714285714,202.57142857142856,9.714285714285714,0.0,0.0,0.0,0.0,0.0,26.114285714285717,6.241428571428572,no,14
4,121,17,2018-01-05,Sawatch,TL,3192.733333333333,2.2,3.533333333333333,-7.333333333333332,-12.2,37.333333333333336,9.8,198.6,16.066666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,25.22666666666667,6.2139999999999995,no,15
5,147,17,2018-01-06,Sawatch,TL,3192.733333333333,2.2,3.933333333333333,-4.666666666666667,-9.266666666666667,47.06666666666667,10.6,227.26666666666668,20.666666666666668,0.0,0.0,0.03333333333333333,0.0,0.0,24.966666666666665,6.114666666666667,no,16
6,173,17,2018-01-07,Sawatch,TL,3192.733333333333,-3.4,2.7333333333333334,-5.866666666666666,-12.733333333333333,53.86666666666667,13.266666666666667,193.33333333333331,18.866666666666667,0.0,1.0600000000000005,0.2700000000000001,1.3733333333333333,0.39799999999999996,27.32666666666666,6.4366666666666665,yes,0
7,199,17,2018-01-08,Sawatch,TL,3192.733333333333,4.866666666666666,5.066666666666666,-7.666666666666668,-13.866666666666667,25.466666666666665,8.4,255.53333333333333,5.2,0.0,0.006,0.17733333333333334,0.0,0.0,27.513333333333332,6.454,no,1
8,225,17,2018-01-09,Sawatch,TL,3192.733333333333,5.066666666666666,8.066666666666666,-0.6666666666666666,-5.333333333333333,54.53333333333333,9.8,276.06666666666666,14.533333333333333,0.0,0.06666666666666668,0.16333333333333336,6.120000000000001,0.08666666666666666,26.16666666666667,6.522666666666666,yes,0
9,251,17,2018-01-10,Sawatch,TL,3192.733333333333,1.5333333333333334,5.6,-3.0,-6.4,64.0,2.7333333333333334,271.6666666666667,9.933333333333334,0.0,0.06666666666666668,0.016666666666666666,5.340000000000002,0.0,26.49333333333333,6.5393333333333326,yes,0
10,277,17,2018-01-11,Sawatch,TL,3189.4,-8.6,1.4,-12.533333333333333,-16.866666666666667,64.73333333333333,13.0,86.53333333333332,23.73333333333333,0.0,0.33066666666666666,0.21866666666666668,4.946666666666666,0.4913333333333333,31.40666666666667,6.691333333333333,yes,0
11,303,17,2018-01-12,Sawatch,TL,3204.066666666666,-5.4,-5.333333333333333,-9.933333333333334,-10.333333333333334,79.66666666666667,5.8,213.46666666666667,14.6,0.14666666666666664,0.8066666666666665,0.5226666666666666,4.9,0.14066666666666666,41.50666666666667,7.586,yes,0
12,329,17,2018-01-13,Sawatch,TL,3200.375,-3.375,-3.25,-11.3125,-12.875,56.75,12.8125,285.625,23.5,0.0,0.52625,0.141875,2.375,0.425,39.21874999999999,7.5725,yes,0
13,355,17,2018-01-14,Sawatch,TL,3186.615384615385,1.0,1.0,-9.692307692307693,-12.846153846153848,48.384615384615394,16.153846153846153,232.3076923076923,20.30769230769231,0.0,0.0,0.2323076923076923,0.0,0.0,30.68461538461539,7.229230769230767,no,1
14,381,17,2018-01-15,Sawatch,TL,3196.9230769230767,-1.0769230769230769,2.230769230769231,-9.538461538461537,-11.846153846153848,50.30769230769231,10.461538461538463,237.0769230769231,15.307692307692307,0.0,0.0,0.006153846153846154,0.0,0.0,32.599999999999994,7.56076923076923,no,2
15,407,17,2018-01-16,Sawatch,TL,3196.9230769230767,-3.3076923076923075,-0.5384615384615384,-18.53846153846154,-29.84615384615385,11.769230769230768,2.6923076923076925,135.15384615384616,9.153846153846152,0.0,0.0,0.4692307692307692,0.0,0.0,32.4076923076923,7.426153846153848,no,3
16,433,17,2018-01-17,Sawatch,TL,3196.9230769230767,-0.38461538461538464,0.2307692307692308,-12.692307692307693,-17.076923076923073,28.69230769230769,7.384615384615384,188.61538461538456,19.076923076923077,0.0,0.0,1.3853846153846154,0.0,0.0,32.02307692307692,7.503076923076922,no,4
