,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations,aspectMode
0,0,13,13,2017-12-01,Sangre,<TL,2487.3,9.3,10.2,-2.2,-5.4,35.6,11.0,216.1,23.3,0.0,0.0,0.075,0.0,0.0,0.0,1.02,no,11,0,
1,1,39,13,2017-12-02,Sangre,<TL,2487.3,9.2,11.7,-4.0,-4.3,38.7,13.7,246.2,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,12,0,
2,2,65,13,2017-12-03,Sangre,<TL,2487.3,8.1,12.4,-1.5,-4.2,43.8,15.1,262.8,30.8,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,13,0,
3,3,91,13,2017-12-04,Sangre,<TL,2487.3,-0.9,10.8,-4.5,-23.9,16.8,13.7,261.9,30.0,0.0,0.0,0.0,0.0,0.2,0.0,0.51,no,14,0,
4,4,117,13,2017-12-05,Sangre,<TL,2487.3,-1.2,1.9,-14.0,-19.8,23.7,8.2,212.0,18.4,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,15,0,
5,5,143,13,2017-12-06,Sangre,<TL,2487.3,-1.5,3.2,-10.8,-16.1,32.8,4.0,168.9,12.2,0.0,0.0,0.0,0.8400000000000001,0.255,2.5,0.25,no,16,0,
6,6,169,13,2017-12-07,Sangre,<TL,2498.444444444445,-5.777777777777778,0.0,-17.333333333333332,-19.11111111111111,36.55555555555557,3.333333333333333,220.88888888888889,13.333333333333336,0.0,0.005555555555555557,0.0,0.03333333333333333,0.0,7.599999999999999,0.76,no,17,0,
7,7,195,13,2017-12-08,Sangre,<TL,2498.444444444445,4.4444444444444455,4.4444444444444455,-7.222222222222222,-13.777777777777779,25.33333333333333,8.555555555555555,212.77777777777766,21.0,0.0,0.0,0.17,0.0,0.05,2.5,1.27,no,18,0,
8,8,221,13,2017-12-09,Sangre,<TL,2498.444444444445,5.5555555555555545,8.444444444444445,-8.222222222222221,-18.22222222222221,16.77777777777778,4.4444444444444455,170.77777777777774,10.666666666666666,0.0,0.0,0.0,0.0,0.0,2.5,1.02,no,19,0,
9,9,247,13,2017-12-10,Sangre,<TL,2498.444444444445,5.5555555555555545,9.333333333333334,-9.111111111111107,-19.444444444444443,15.0,6.222222222222222,204.22222222222226,13.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,20,0,
10,10,273,13,2017-12-11,Sangre,<TL,2498.444444444445,7.8888888888888875,10.222222222222221,-7.0,-20.0,11.666666666666664,5.777777777777778,152.55555555555554,11.111111111111107,0.0,0.0,0.0,0.0,0.0,2.5,0.76,no,21,0,
11,11,299,13,2017-12-12,Sangre,<TL,2498.444444444445,7.8888888888888875,12.444444444444445,-7.222222222222222,-14.111111111111107,19.0,5.0,157.77777777777774,12.555555555555555,0.0,0.0,0.0,0.0,0.0,2.5,0.76,no,22,0,
12,12,325,13,2017-12-13,Sangre,<TL,2498.444444444445,7.1111111111111125,12.666666666666664,-6.1111111111111125,-14.111111111111107,20.555555555555557,2.7777777777777777,133.77777777777777,8.444444444444445,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.76,no,23,0,
13,13,351,13,2017-12-14,Sangre,<TL,2480.3,-2.1,9.7,-6.4,-6.7,69.4,4.3,203.5,16.2,0.0,0.06500000000000003,0.030000000000000006,3.9899999999999993,0.21800000000000005,4.54,0.76,yes,0,0,
14,14,377,13,2017-12-15,Sangre,<TL,2498.444444444445,2.333333333333333,3.0,-12.777777777777779,-15.0,27.11111111111111,5.666666666666668,235.77777777777766,16.77777777777778,0.0,0.008888888888888889,0.08333333333333333,0.05555555555555555,0.0,1.3888888888888888,1.02,no,1,0,
15,15,403,13,2017-12-16,Sangre,<TL,2498.444444444445,6.1111111111111125,7.777777777777778,-8.0,-14.0,22.66666666666667,3.333333333333333,221.88888888888889,9.0,0.0,0.0066666666666666645,0.0,0.0,0.13,1.3888888888888888,1.27,no,2,0,
16,16,429,13,2017-12-17,Sangre,<TL,2498.444444444445,1.3333333333333333,9.222222222222221,-6.222222222222222,-12.555555555555555,35.444444444444436,6.4444444444444455,185.0,15.333333333333336,0.0,0.0,0.08333333333333333,0.0,0.0,2.5,1.02,no,3,0,
17,17,455,13,2017-12-18,Sangre,<TL,2498.444444444445,4.2222222222222205,6.0,-8.222222222222221,-15.444444444444445,23.0,9.111111111111107,203.44444444444446,18.777777777777786,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.76,no,4,0,
18,18,481,13,2017-12-19,Sangre,<TL,2498.444444444445,4.333333333333333,8.333333333333334,-8.0,-11.333333333333336,30.33333333333333,4.333333333333333,119.77777777777777,9.444444444444443,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.76,no,5,0,
19,19,507,13,2017-12-20,Sangre,<TL,2498.444444444445,6.1111111111111125,8.777777777777779,-6.666666666666668,-12.777777777777779,25.66666666666667,9.333333333333334,211.0,22.555555555555557,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.02,no,6,0,
20,20,533,13,2017-12-21,Sangre,<TL,2507.0,-3.75,9.625,-4.75,-8.25,73.625,8.5,129.125,22.875,0.0,0.0,0.0,0.0,0.28,2.5,0.76,no,7,0,
21,21,559,13,2017-12-22,Sangre,<TL,2480.3,-2.9,-0.3,-14.5,-11.4,54.0,3.1,176.4,9.8,0.0,0.123,0.06000000000000001,2.39,0.38,2.17,0.51,yes,0,0,
22,22,585,13,2017-12-23,Sangre,<TL,2498.444444444445,1.4444444444444444,2.1111111111111107,-9.0,-11.333333333333336,38.0,15.777777777777779,247.11111111111111,33.0,0.0,0.03333333333333334,0.11666666666666667,0.0,0.05,0.7222222222222222,0.76,no,1,0,
23,23,611,13,2017-12-24,Sangre,<TL,2498.444444444445,1.3333333333333333,4.666666666666667,-9.333333333333334,-23.44444444444445,15.444444444444445,21.22222222222221,266.3333333333333,38.444444444444436,0.0,0.0033333333333333327,0.08333333333333333,0.03333333333333333,0.0,1.8333333333333333,0.76,no,2,0,
24,24,637,13,2017-12-25,Sangre,<TL,2498.444444444445,3.4444444444444446,4.2222222222222205,-4.888888888888889,-6.5555555555555545,50.0,14.666666666666664,252.0,33.44444444444444,0.0,0.022222222222222227,0.0,1.6888888888888889,0.13,1.8333333333333333,0.76,yes,0,0,
25,25,663,13,2017-12-26,Sangre,<TL,2487.3,4.8,5.6,-5.1,-11.5,30.5,14.8,269.2,27.8,0.0,0.02,0.0,0.0,0.43,0.0,1.02,no,1,0,
